Ind1 Ind2 Ind3 Ind4 Ind5 Ind6 Ind7 Ind8 Ind9 Ind10
4-8458 0 149 105 43 33 101 99 119 0 156
4-5982 0 44 137 60 112 124 185 118 0 96
4-4869 0 147 58 91 98 15 164 83 0 88
4-2335 0 106 162 0 109 66 115 118 0 167
4-3512 0 188 71 85 142 0 64 70 0 95
4-5311 0 114 138 191 88 0 75 119 0 94
4-7761 0 123 41 98 39 97 147 136 0 127
4-4321 0 40 92 96 88 97 111 79 0 166
4-1790 0 122 22 117 116 76 23 67 0 111
4-8982 0 116 0 100 155 103 64 123 0 113
4-5986 0 172 118 124 47 30 23 80 0 76
4-3914 0 189 116 142 54 91 167 74 0 73
4-8819 0 124 85 41 119 70 77 103 0 120
4-9955 0 49 127 35 32 93 133 62 0 112
4-9657 0 89 13 117 101 85 0 157 0 120
4-8538 0 56 64 21 41 0 108 176 0 30
4-8884 0 96 47 134 62 65 97 66 0 46
4-9245 0 181 115 142 0 164 137 28 0 115
4-4553 0 57 41 128 35 87 172 80 0 30
4-3046 0 136 161 122 114 30 160 86 0 0
4-3884 0 107 79 149 122 85 114 40 0 104
4-7027 0 75 154 30 21 45 128 30 0 96
4-9114 0 143 150 93 0 21 0 59 0 187
4-8323 0 68 130 119 136 168 0 68 0 125
4-1112 0 134 40 99 0 91 83 47 0 174
4-8075 0 136 3 123 151 108 144 0 0 113
4-4410 0 85 0 175 93 103 96 102 0 136
4-7944 0 149 77 19 40 121 87 87 0 142
5-5831 0 80 120 163 19 35 24 128 0 123
5-6394 0 105 126 174 97 0 171 30 0 46
5-2094 0 105 90 87 101 102 39 72 0 71
5-8263 0 82 28 68 136 78 140 76 0 137
5-5106 0 37 139 144 85 149 116 57 0 0
5-9871 0 173 75 73 145 177 49 59 0 0
5-5662 0 82 151 105 30 117 99 14 0 99
5-9776 0 118 70 0 71 54 114 155 0 109
5-9577 0 91 104 173 155 0 85 138 0 154
5-4660 0 73 133 104 137 170 0 184 0 100
5-8142 0 68 76 0 88 108 125 94 0 118
5-4648 0 136 46 64 108 121 0 23 0 65
5-4923 0 120 135 61 66 111 0 99 0 88
5-3306 0 72 123 53 57 66 115 120 0 114
5-3721 0 111 170 0 82 7 97 101 0 103
5-9065 0 93 152 14 105 0 154 106 0 155
5-9662 0 54 106 145 105 132 187 140 0 0
5-6930 0 126 105 74 111 99 83 117 0 113
5-1439 0 81 112 0 74 52 161 164 0 145
5-3855 0 23 35 135 70 37 137 54 0 26
5-2192 0 30 177 104 67 8 176 79 0 86
5-9972 0 85 139 101 143 116 110 56 0 42
5-6017 0 93 111 51 32 89 169 124 0 71
5-5883 0 80 81 70 103 0 59 127 0 91
5-7088 0 96 53 102 105 102 140 74 0 67
5-9162 0 101 30 57 165 132 149 120 0 14
5-1236 0 96 79 114 139 113 83 166 0 66
5-5623 0 104 137 186 121 118 53 47 0 19
5-3369 0 141 127 107 84 110 112 106 0 63
5-1186 0 133 139 57 100 148 52 96 0 114
